順位,選手名,チーム,打率,試合,打席数,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,敬遠,死球,三振,併殺打,出塁率,長打率
1,中野　拓夢,阪神,.285,143,660,575,80,164,17,5,2,197,40,20,12,21,5,57,2,2,107,5,.349,.343
2,岡林　勇希,中日,.279,143,633,584,61,163,21,10,3,213,31,12,8,9,1,39,1,0,89,11,.324,.365
3,大山　悠輔,阪神,.288,143,625,513,80,148,29,0,19,234,78,3,3,0,8,99,5,5,120,13,.403,.456
3,柳田　悠岐,ソフトバンク,.299,143,625,546,57,163,29,3,22,264,85,1,0,0,6,64,1,9,97,9,.378,.484
5,近藤　健介,ソフトバンク,.303,143,613,492,75,149,33,0,26,260,87,3,4,0,6,109,7,6,117,7,.431,.528
5,佐野　恵太,DeNA,.264,141,613,560,67,148,26,2,13,217,65,0,2,0,3,46,4,4,77,9,.323,.388
7,牧　秀悟,DeNA,.293,143,605,559,78,164,39,3,29,296,103,2,2,0,6,33,3,7,85,17,.337,.530
8,浅村　栄斗,楽天,.274,143,601,522,64,143,20,0,26,241,78,2,1,0,1,75,4,3,108,9,.368,.462
9,村上　宗隆,ヤクルト,.256,140,597,496,76,127,28,0,31,248,84,5,3,0,4,90,4,7,168,6,.375,.500
10,岡本　和真,巨人,.278,140,589,503,83,140,31,0,41,294,93,0,1,0,6,72,10,8,111,10,.374,.584
11,中村　晃,ソフトバンク,.274,136,585,511,52,140,13,2,5,172,37,0,2,7,4,60,3,3,53,8,.351,.337
11,近本　光司,阪神,.285,129,585,501,83,143,24,12,8,215,54,28,3,0,5,67,2,12,71,6,.379,.429
13,中村　奨吾,ロッテ,.220,137,584,508,61,112,23,0,11,168,48,3,1,13,4,52,2,7,89,20,.299,.331
14,万波　中正,日本ハム,.265,141,582,533,69,141,33,0,25,249,74,2,1,2,2,41,2,4,138,12,.321,.467
15,細川　成也,中日,.253,140,576,518,62,131,30,1,24,235,78,0,0,0,1,49,3,8,161,17,.326,.454
16,外崎　修汰,西武,.260,136,571,503,60,131,28,3,12,201,54,26,3,3,4,56,0,5,114,11,.338,.400
17,中川　圭太,オリックス,.269,135,563,506,66,136,29,5,12,211,55,5,5,6,1,43,0,7,90,9,.334,.417
18,松本　剛,日本ハム,.276,134,561,507,51,140,16,2,3,169,30,12,12,7,3,37,3,7,57,11,.332,.333
19,小深田　大翔,楽天,.258,134,549,477,67,123,8,6,5,158,37,36,6,20,1,48,0,3,83,8,.329,.331
20,佐藤　輝明,阪神,.263,132,548,486,70,128,30,6,24,242,92,7,5,0,4,54,5,4,139,4,.339,.498
21,オスナ,ヤクルト,.253,134,543,501,49,127,23,0,23,219,71,2,4,0,2,39,5,1,79,13,.308,.437
22,関根　大気,DeNA,.261,140,532,482,69,126,17,3,4,161,31,11,3,16,1,29,1,4,53,5,.308,.334
23,サンタナ,ヤクルト,.300,136,516,467,52,140,32,0,18,226,66,2,0,0,3,44,1,2,114,17,.360,.484
